dataset_id,filename,cohort,target,sensitive_attribute,positive_label_json,dataset_family,source_type,drift_type,notes,task_policy
physiochemical_protein_Real,physiochemical_protein_Real.csv,historical_23,__LAST__,,1,unknown,real,unknown,Historical held-out cohort; target resolved from final CSV column and audited before freeze. Phase-18 v2.5 explicitly converts this numeric/ordinal outcome into a pre-outcome frozen ordinal quantile classification target (maximum 5 classes); source CSV is not modified.,ordinal_quantile_max5
RBFm_100k_Synthetic,RBFm_100k__Synthetic.csv,historical_23,__LAST__,,1,unknown,synthetic,unknown,Historical held-out cohort; target resolved from final CSV column and audited before freeze.,native_classification
RTG_2abrupt_Synthetic,RTG_2abrupt_Synthetic.csv,historical_23,__LAST__,,1,unknown,synthetic,abrupt,Historical held-out cohort; target resolved from final CSV column and audited before freeze.,native_classification
sarcos_Real,sarcos_Real.csv,historical_23,__LAST__,,1,unknown,real,unknown,Historical held-out cohort; target resolved from final CSV column and audited before freeze. Phase-18 v2.5 explicitly converts this numeric/ordinal outcome into a pre-outcome frozen ordinal quantile classification target (maximum 5 classes); source CSV is not modified.,ordinal_quantile_max5
SEA_Abrubt_5_Synthetic,SEA_Abrubt_5_Synthetic.csv,historical_23,__LAST__,,1,unknown,synthetic,abrupt,Historical held-out cohort; target resolved from final CSV column and audited before freeze.,native_classification
SEA_Mixed_5_Synthetic,SEA_Mixed_5_Synthetic.csv,historical_23,__LAST__,,1,unknown,synthetic,mixed,Historical held-out cohort; target resolved from final CSV column and audited before freeze.,native_classification
SINE_Abrupt_Synthetic,SINE_Abrupt_Synthetic.csv,historical_23,__LAST__,,1,unknown,synthetic,abrupt,Historical held-out cohort; target resolved from final CSV column and audited before freeze.,native_classification
white_wine_Real,white_wine_Real.csv,historical_23,__LAST__,,1,unknown,real,unknown,Historical held-out cohort; target resolved from final CSV column and audited before freeze.,native_classification
bank_stream,bank_stream.csv,extension_8,age_group,,"""age_ge_40""",unknown,real,unknown,Additional journal-extension dataset; age_group is the explicit binary target. Review scientific interpretation before freeze.,native_classification
census_income_stream,census_income_stream.csv,extension_8,income_binary,sex,1,unknown,real,unknown,Additional journal-extension dataset; explicit binary target verified from supplied CSV.,native_classification
credit_card_stream,credit_card_stream.csv,extension_8,age_group,sex_label,"""age_ge_40""",unknown,real,unknown,Additional journal-extension dataset; age_group is the explicit binary target and sex_label is audit-only sensitive attribute.,native_classification
dutch_census_stream_awareml,dutch_census_stream_awareml.csv,extension_8,occupation_binary,sex,1,unknown,real,unknown,Additional journal-extension dataset; explicit binary target verified from supplied CSV.,native_classification
german_credit_stream_80_20,german_credit_stream_80_20.csv,extension_8,risk,sex,"""good""",unknown,real,unknown,Additional journal-extension dataset; explicit binary target verified from supplied CSV.,native_classification
insurance_stream,insurance_stream.csv,extension_8,charges_high,sex,1,unknown,real,unknown,Additional journal-extension dataset; explicit binary target verified from supplied CSV.,native_classification
law_dataset_stream,law_dataset_stream.csv,extension_8,race_group,male,"""group_1""",unknown,real,unknown,Additional journal-extension dataset; race_group is target and male is audit-only sensitive attribute. Review scientific interpretation before freeze.,native_classification
StudentsPerformance_stream,StudentsPerformance_stream.csv,extension_8,performance_high,gender,1,unknown,real,unknown,Additional journal-extension dataset; explicit binary target verified from supplied CSV.,native_classification
